avg_cycle_time,cycle_time_std,cycle_time_trend,throughput,temperature_mean,vibration_mean,utilization,current_cycle_time,high_risk
86.54,5.63,0.03,26.35,67.6,2.15,0.696,86.71,0
156.08,19.01,0.205,17.74,80.99,8.22,0.889,220.0,1
69.67,13.13,0.026,40.7,86.36,5.55,0.832,72.96,0
89.1,13.64,0.099,36.86,75.23,4.89,0.919,59.46,1
64.56,7.17,-0.018,42.17,57.15,3.57,0.758,60.19,0
62.65,7.88,-0.054,38.8,55.6,2.31,0.7,58.0,0
58.83,3.07,-0.016,28.75,48.69,1.2,0.487,55.87,0
120.06,23.99,0.253,26.88,72.85,5.02,0.951,105.14,1
82.67,13.05,0.085,31.44,83.07,6.51,0.772,48.45,0
98.34,12.84,0.142,29.19,85.27,3.68,0.845,105.84,1
43.27,4.02,-0.114,28.64,54.78,2.46,0.385,35.25,0
133.2,21.83,0.255,21.95,96.57,8.39,0.936,190.4,1
111.51,11.92,0.148,23.74,75.84,10.08,0.838,103.62,1
82.45,4.11,0.029,33.22,65.56,2.71,0.808,80.83,0
63.04,5.38,0.009,47.95,73.76,3.61,0.817,76.68,0
85.8,4.96,0.073,30.18,67.02,3.19,0.691,84.73,0
59.78,6.73,-0.006,38.98,70.53,2.75,0.659,57.93,0
84.69,6.43,-0.02,37.83,73.69,4.57,0.955,68.7,1
74.21,6.44,0.011,38.13,74.24,3.74,0.896,64.5,0
55.05,7.66,0.009,47.64,63.04,3.75,0.745,55.08,0
108.46,11.69,0.243,26.7,82.52,4.19,0.889,99.34,1
56.39,1.13,-0.165,26.97,51.4,1.04,0.418,51.83,0
72.53,3.03,-0.023,33.91,57.28,3.09,0.69,75.59,0
50.0,7.77,0.047,58.2,55.31,3.81,0.799,59.66,0
93.49,4.56,0.061,38.19,76.54,4.0,0.954,106.22,1
86.2,19.13,0.063,31.5,82.37,10.46,0.78,59.69,1
86.36,7.71,-0.088,27.48,55.47,2.12,0.689,92.66,0
70.66,9.4,0.089,44.53,80.14,3.34,0.876,99.8,1
93.8,9.23,0.238,27.11,80.49,4.97,0.827,98.45,1
52.25,2.34,-0.041,37.34,59.97,1.54,0.525,48.77,0
94.46,12.5,0.114,27.51,68.72,6.03,0.802,112.17,1
63.09,4.21,-0.07,41.83,57.59,2.47,0.77,57.94,0
52.18,3.53,-0.018,21.91,53.04,1.13,0.361,47.55,0
136.09,20.63,0.169,23.92,71.72,4.16,0.944,111.82,1
131.07,16.12,0.213,27.54,93.71,7.42,0.984,148.9,1
105.12,12.25,0.088,25.8,79.88,9.19,0.782,128.49,1
87.95,7.51,0.058,28.7,73.87,1.48,0.776,100.01,0
47.63,3.99,-0.152,28.73,60.44,0.91,0.413,44.5,0
76.92,8.5,0.133,36.6,90.88,2.85,0.774,94.37,1
89.02,5.26,0.083,38.06,72.29,2.64,0.906,82.66,0
53.88,1.83,-0.112,34.63,59.83,2.05,0.552,49.9,0
68.45,7.8,0.096,43.52,72.84,4.36,0.863,84.4,1
56.09,4.05,-0.168,37.73,60.79,2.24,0.6,56.83,0
120.08,13.02,0.242,28.38,68.25,6.42,0.959,119.58,1
70.8,7.15,-0.025,31.25,60.7,2.61,0.643,75.18,0
91.16,12.81,0.051,25.22,95.98,2.76,0.71,101.32,1
77.81,5.05,0.058,29.73,55.24,2.04,0.666,82.78,0
95.06,9.47,-0.01,35.17,74.34,5.32,0.885,69.37,0
69.42,8.36,0.007,40.36,65.16,3.61,0.821,74.7,0
62.04,3.84,-0.027,35.96,65.7,1.76,0.651,53.37,0
137.08,24.39,0.263,22.72,88.89,7.34,0.892,148.23,1
88.46,19.02,0.143,32.59,77.23,11.25,0.797,52.18,1
124.27,22.97,0.178,27.47,81.46,3.76,0.958,99.65,1
124.82,21.43,0.141,21.35,79.3,3.68,0.85,100.47,1
81.88,11.8,0.161,30.47,84.5,6.36,0.758,77.46,1
141.31,13.9,0.134,25.09,70.13,4.52,0.962,112.29,1
51.58,2.37,-0.043,25.09,60.51,1.53,0.355,50.79,0
64.41,5.33,0.024,44.99,59.14,3.77,0.794,70.6,0
59.47,4.52,-0.124,22.17,49.91,1.15,0.376,57.11,0
51.74,4.74,-0.068,48.33,64.29,2.59,0.742,37.42,0
88.24,4.07,-0.007,28.77,66.14,3.8,0.762,83.84,0
74.36,4.44,-0.071,34.49,65.65,1.41,0.72,72.53,0
94.31,9.46,0.13,28.77,79.53,8.48,0.824,103.84,1
76.87,3.37,-0.017,38.76,56.89,3.97,0.796,77.15,0
53.13,7.67,-0.035,52.01,63.37,2.43,0.786,40.94,0
