station_avg_cycle_time,station_temperature_mean,station_vibration_mean,station_utilization,station_current_cycle_time,vehicle_avg_cycle_time,vehicle_cycle_time_deviation,vehicle_quality_event_count,defect
84.94,50.72,1.43,0.484,91.16,78.27,-24.1,1,0
154.09,75.6,2.58,0.675,156.73,159.93,26.44,2,1
127.84,73.17,3.83,0.534,146.45,145.58,-9.56,0,0
111.84,56.15,1.59,0.658,128.11,105.93,-11.81,0,0
58.72,63.46,2.52,0.447,74.23,68.5,-8.3,4,0
58.72,54.47,2.08,0.602,67.11,81.09,39.11,0,0
46.97,45.0,1.47,0.3,42.44,62.62,34.55,4,1
143.94,77.63,3.83,0.769,142.54,139.9,-10.56,1,1
112.13,63.23,1.64,0.722,99.34,120.82,24.3,0,0
124.97,68.64,8.78,0.759,134.17,128.36,-36.57,0,1
42.47,49.09,2.64,0.562,48.73,35.88,19.58,1,0
156.39,70.26,2.85,0.841,157.01,160.66,24.86,0,1
139.89,79.32,2.88,0.871,152.67,135.16,33.51,4,1
65.48,49.56,0.9,0.41,57.68,66.72,-2.51,2,0
61.82,45.0,2.17,0.467,69.56,48.04,14.06,1,0
62.01,52.16,1.5,0.3,45.42,44.38,-21.2,4,0
76.51,45.0,0.89,0.312,58.09,73.64,-8.75,0,0
102.97,51.0,1.58,0.485,97.78,106.15,-5.55,3,0
91.83,63.52,2.96,0.396,97.7,80.55,-1.06,3,0
74.95,45.0,2.17,0.409,57.22,80.21,11.56,1,0
113.42,45.0,2.05,0.491,123.84,113.85,9.08,0,0
56.74,51.87,3.9,0.3,31.03,63.24,17.62,1,0
75.06,57.35,1.61,0.669,73.47,84.51,3.67,5,0
83.96,50.95,2.38,0.335,61.71,97.4,28.32,0,0
94.73,59.97,1.56,0.659,64.58,100.76,7.02,0,0
134.22,66.84,3.0,0.544,137.49,131.27,0.07,1,0
63.96,51.74,2.22,0.637,62.56,65.85,2.44,2,0
101.71,75.65,2.7,0.742,87.79,125.0,-22.08,0,0
111.09,54.7,1.83,0.675,106.39,120.94,0.53,3,0
45.57,53.59,3.65,0.486,48.59,46.29,-16.18,4,0
112.91,63.45,1.85,0.421,104.9,111.4,19.95,0,1
60.46,51.64,1.75,0.655,59.19,54.48,-6.82,6,0
47.81,45.87,4.6,0.575,42.52,35.93,3.76,0,0
153.87,84.19,3.9,0.9,152.87,170.95,-40.0,0,1
155.88,68.23,3.83,0.811,152.96,160.66,-6.27,0,0
137.01,63.53,4.24,0.629,130.09,124.32,-10.15,1,0
76.55,65.87,2.09,0.667,68.86,75.3,12.73,5,1
51.72,48.3,1.07,0.352,34.55,64.43,0.82,0,0
122.11,54.02,3.17,0.671,118.98,117.64,16.77,1,0
92.82,67.61,3.96,0.398,81.11,84.67,2.11,0,0
54.64,51.3,0.97,0.613,42.04,58.21,15.85,0,0
99.42,54.46,1.65,0.435,105.3,106.0,10.49,7,1
44.13,47.47,1.41,0.302,52.97,39.67,-20.35,2,0
149.12,77.01,5.07,0.751,152.13,143.12,-0.12,2,1
71.05,70.86,2.87,0.599,71.83,75.66,-0.31,2,0
119.5,54.96,5.0,0.686,112.92,108.25,-40.0,0,1
77.41,59.02,9.87,0.405,86.31,72.02,-13.84,0,1
102.41,61.75,3.78,0.388,119.02,101.2,45.06,0,0
105.61,63.87,3.28,0.7,105.63,113.0,-4.93,8,1
62.18,62.85,2.32,0.661,57.14,57.91,-4.42,2,0
156.35,83.32,2.9,0.873,165.91,161.98,-34.43,1,1
133.02,58.36,2.58,0.663,135.83,144.68,-22.85,1,1
152.74,89.15,3.82,0.9,152.73,147.68,8.71,4,1
147.38,59.85,2.04,0.686,154.76,179.61,-4.68,0,0
111.75,55.95,2.9,0.625,123.51,125.94,-14.08,0,0
150.62,70.33,2.95,0.723,143.65,153.35,19.87,0,0
50.62,62.84,3.66,0.411,77.34,48.8,0.74,4,0
63.52,53.39,1.76,0.581,44.74,57.96,-32.81,2,0
45.43,48.77,0.97,0.427,31.75,62.04,-6.11,1,0
79.04,64.48,2.6,0.444,78.72,81.14,-14.83,0,0
86.64,53.47,5.53,0.443,110.47,72.25,-2.78,0,0
72.56,45.0,2.93,0.313,60.07,55.44,-7.35,0,0
139.45,67.79,2.21,0.732,129.29,140.57,-16.66,4,1
82.81,64.03,2.39,0.42,85.81,84.15,-28.5,4,1
73.71,52.06,4.87,0.36,65.94,64.54,6.17,1,0
105.12,77.21,2.63,0.657,114.24,89.98,20.15,0,0
56.91,58.28,1.74,0.523,54.53,37.28,-5.7,4,0
136.26,67.17,2.29,0.79,129.77,128.67,7.92,1,0
48.95,49.91,2.06,0.428,73.7,45.32,5.74,0,0
158.43,72.11,2.92,0.913,129.23,165.34,-40.0,0,1
132.67,68.04,2.01,0.853,159.56,131.37,29.58,1,1
63.85,87.29,4.53,0.594,74.93,74.49,3.76,5,0
40.66,56.14,1.32,0.456,30.0,46.71,-2.61,1,0
137.86,73.58,3.61,0.615,160.63,142.99,9.47,0,0
124.82,67.05,2.88,0.848,113.32,134.62,-9.02,0,1
127.48,75.91,3.38,0.572,139.02,113.61,8.33,0,1
132.55,73.05,2.29,0.559,106.74,127.19,-10.01,4,1
48.89,62.09,3.05,0.404,31.21,72.9,13.9,0,0
83.02,65.58,2.58,0.352,64.27,63.95,-1.49,0,0
53.9,45.06,1.3,0.633,45.56,50.93,17.0,1,0
143.57,63.92,3.0,0.746,146.63,148.33,28.66,0,0
114.8,57.87,2.67,0.647,105.83,96.03,-33.49,0,0
79.71,51.38,0.91,0.581,54.9,72.18,10.58,1,0
47.63,51.45,1.09,0.422,49.62,67.59,12.75,2,0
77.32,47.25,1.04,0.325,72.4,79.02,6.33,0,0
79.02,71.91,3.81,0.562,83.17,73.28,19.89,5,1
127.55,82.69,4.05,0.749,132.6,129.66,-2.24,1,1
116.51,63.84,3.76,0.596,127.88,110.74,16.53,4,1
146.47,87.71,5.09,0.822,150.01,163.59,-17.27,1,1
96.67,67.94,4.75,0.461,106.03,86.76,-20.73,1,0
54.35,45.0,1.21,0.332,39.67,49.12,2.23,5,0
125.59,49.31,1.39,0.521,115.39,110.67,-6.35,2,0
131.29,65.24,4.38,0.623,148.26,128.34,8.43,0,0
107.35,61.61,1.9,0.741,126.44,105.61,-4.81,1,0
132.52,73.04,3.11,0.809,143.58,144.47,12.57,0,1
99.26,60.29,1.74,0.531,87.2,89.09,-13.7,0,0
102.73,62.95,5.25,0.624,91.57,107.56,-6.42,3,0
91.3,64.92,2.48,0.642,108.09,92.17,-0.37,2,0
43.05,45.0,0.86,0.306,52.43,30.0,-9.74,0,0
52.95,49.97,2.56,0.306,46.31,45.69,-7.05,0,0
43.77,49.99,1.22,0.6,71.88,36.12,35.39,1,1
116.37,67.26,6.15,0.676,123.4,133.2,-5.0,0,1
77.72,67.5,2.54,0.706,66.55,83.18,-7.87,0,0
101.03,51.04,2.5,0.518,96.08,102.48,-7.24,0,0
148.91,72.07,2.76,0.808,153.13,105.95,-9.36,2,1
69.92,50.63,3.31,0.379,66.53,50.83,20.43,0,0
89.25,52.59,4.36,0.452,101.29,96.52,-18.49,0,0
130.67,74.32,4.59,0.677,120.73,138.49,-6.51,3,1
67.46,46.83,3.44,0.41,47.68,60.03,-25.07,3,1
49.24,45.0,0.66,0.3,50.47,49.51,10.82,1,0
74.77,47.98,4.55,0.409,64.88,74.34,-2.54,0,0
59.35,55.55,2.6,0.3,82.43,61.04,32.82,1,0
151.56,71.2,5.12,0.816,167.21,147.84,21.05,2,1
136.97,72.46,3.88,0.688,132.43,145.13,-0.81,0,0
116.01,74.37,2.6,0.466,127.88,127.07,19.33,1,0
144.58,67.22,3.24,0.582,152.99,134.98,19.25,2,1
136.44,73.01,2.32,0.53,142.65,124.5,-13.32,3,1
62.39,65.36,3.51,0.512,59.17,54.43,12.3,0,0
147.11,74.73,3.07,0.559,151.33,147.59,7.46,0,0
104.72,64.49,1.92,0.696,81.4,108.28,-2.85,0,0
136.89,69.0,7.75,0.499,150.68,144.78,-0.44,5,1
147.53,60.18,4.88,0.622,106.75,157.25,-35.77,0,1
78.16,54.53,4.43,0.671,74.27,81.78,-20.56,2,0
